Flowable,Class,SectorProducedBy,SectorConsumedBy,SectorSourceName,Context,Location,LocationSystem,FlowAmount,Unit,FlowType,Year,MeasureofSpread,Spread,DistributionType,Min,Max,DataReliability,TemporalCorrelation,GeographicalCorrelation,TechnologicalCorrelation,DataCollection,MetaSources,FlowUUID,ProducedBySectorType,ConsumedBySectorType,AttributionSources
concrete,Other,,5622121C,NAICS_2012_Code,,"=""00000""",FIPS,64621333162.87126,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_CDDPath,,,,Direct
food,Other,,5622121F,NAICS_2012_Code,,"=""00000""",FIPS,33214095809.655,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR,,,I,Direct
glass,Other,,5622121G,NAICS_2012_Code,,"=""00000""",FIPS,7319506840.920144,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EPA_CDDPath, EPA_FactsAndFigures",,,,Direct
asphalt shingles,Other,,5622121H,NAICS_2012_Code,,"=""00000""",FIPS,11788249150.664726,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_CDDPath,,,,Direct
aluminum,Other,,5622121L,NAICS_2012_Code,,"=""00000""",FIPS,2413112100.0,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_FactsAndFigures,,,,Direct
metal,Other,,5622121M,NAICS_2012_Code,,"=""00000""",FIPS,11249406397.522526,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EPA_CDDPath, EPA_FactsAndFigures",,,,Direct
other,Other,,5622121O,NAICS_2012_Code,,"=""00000""",FIPS,57620844261.3846,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EPA_CDDPath, EPA_FactsAndFigures",,,,Direct
paper,Other,,5622121P,NAICS_2012_Code,,"=""00000""",FIPS,32374328179.02337,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EPA_CDDPath, EPA_FactsAndFigures",,,,Direct
carpet,Other,,5622121R,NAICS_2012_Code,,"=""00000""",FIPS,1867520019.5821557,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_CDDPath,,,,Direct
plastic,Other,,5622121S,NAICS_2012_Code,,"=""00000""",FIPS,26041722813.799908,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EPA_CDDPath, EPA_FactsAndFigures",,,,Direct
asphalt pavement,Other,,5622121V,NAICS_2012_Code,,"=""00000""",FIPS,4420734148.014604,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_CDDPath,,,,Direct
wood,Other,,5622121W,NAICS_2012_Code,,"=""00000""",FIPS,37872367721.32857,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EPA_CDDPath, EPA_FactsAndFigures",,,,Direct
yard trimmings,Other,,5622121Y,NAICS_2012_Code,,"=""00000""",FIPS,11256359394.366724,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EPA_CDDPath, EPA_FactsAndFigures",,,,Direct
food,Other,,562213F,NAICS_2012_Code,,"=""00000""",FIPS,7028361356.4,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR,,,I,Direct
glass,Other,,562213G,NAICS_2012_Code,,"=""00000""",FIPS,1487783400.0,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_FactsAndFigures,,,,Direct
asphalt shingles,Other,,562213H,NAICS_2012_Code,,"=""00000""",FIPS,18987491.89573532,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_CDDPath,,,,Direct
aluminum,Other,,562213L,NAICS_2012_Code,,"=""00000""",FIPS,508023599.99999994,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_FactsAndFigures,,,,Direct
metal,Other,,562213M,NAICS_2012_Code,,"=""00000""",FIPS,2168172150.0,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_FactsAndFigures,,,,Direct
other,Other,,562213O,NAICS_2012_Code,,"=""00000""",FIPS,6513588300.0,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_FactsAndFigures,,,,Direct
paper,Other,,562213P,NAICS_2012_Code,,"=""00000""",FIPS,3810177000.0,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_FactsAndFigures,,,,Direct
plastic,Other,,562213S,NAICS_2012_Code,,"=""00000""",FIPS,5238829076.312903,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EPA_CDDPath, EPA_FactsAndFigures",,,,Direct
wood,Other,,562213W,NAICS_2012_Code,,"=""00000""",FIPS,9399586602.16103,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EPA_CDDPath, EPA_FactsAndFigures",,,,Direct
yard trimmings,Other,,562213Y,NAICS_2012_Code,,"=""00000""",FIPS,3592427891.8685064,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EPA_CDDPath, EPA_FactsAndFigures",,,,Direct
food,Other,,5622191F,NAICS_2012_Code,,"=""00000""",FIPS,9699400666.859999,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR,,,I,Direct
food,Other,,5622192F,NAICS_2012_Code,,"=""00000""",FIPS,3134570022.1349998,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR,,,I,Direct
wood,Other,,5622192W,NAICS_2012_Code,,"=""00000""",FIPS,2230153337.765937,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_CDDPath,,,,Direct
yard trimmings,Other,,5622192Y,NAICS_2012_Code,,"=""00000""",FIPS,20781074996.160267,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EPA_CDDPath, EPA_FactsAndFigures",,,,Direct
concrete,Other,,5629201C,NAICS_2012_Code,,"=""00000""",FIPS,302958516103.3079,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_CDDPath,,,,Direct
glass,Other,,5629201G,NAICS_2012_Code,,"=""00000""",FIPS,2902056298.8895,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EPA_CDDPath, EPA_FactsAndFigures",,,,Direct
asphalt shingles,Other,,5629201H,NAICS_2012_Code,,"=""00000""",FIPS,106038351.415686,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_CDDPath,,,,Direct
aluminum,Other,,5629201L,NAICS_2012_Code,,"=""00000""",FIPS,607813950.0,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_FactsAndFigures,,,,Direct
metal,Other,,5629201M,NAICS_2012_Code,,"=""00000""",FIPS,10535164978.359827,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EPA_CDDPath, EPA_FactsAndFigures",,,,Direct
other,Other,,5629201O,NAICS_2012_Code,,"=""00000""",FIPS,6984417113.034911,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EPA_CDDPath, EPA_FactsAndFigures",,,,Direct
paper,Other,,5629201P,NAICS_2012_Code,,"=""00000""",FIPS,46194434496.17044,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EPA_CDDPath, EPA_FactsAndFigures",,,,Direct
carpet,Other,,5629201R,NAICS_2012_Code,,"=""00000""",FIPS,5135861.383487872,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_CDDPath,,,,Direct
plastic,Other,,5629201S,NAICS_2012_Code,,"=""00000""",FIPS,3084972714.986823,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EPA_CDDPath, EPA_FactsAndFigures",,,,Direct
asphalt pavement,Other,,5629201V,NAICS_2012_Code,,"=""00000""",FIPS,90605590848.71255,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_CDDPath,,,,Direct
wood,Other,,5629201W,NAICS_2012_Code,,"=""00000""",FIPS,3919316278.981203,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"EPA_CDDPath, EPA_FactsAndFigures",,,,Direct
